35.238,65,5
62.232,72,5
17.632,38,4
52.704,110,5
20.916,54,4
18.984,41,4
21.898,54,4
18.09,49,4
22.68,54,4
20.283,57,4
23.792,62,4
100,19,3
100,16,3
100,20,3
13.7,54,4
27.0,93,4
12.3,30,4
28.9,36,4
17.7,49,4
17.0,50,4
17.2,47,4
18.6,64,4
14.1,45,4
11.3,40,4
5.9,19,3
13.5,38,4
18.9,58,4
25.2,66,4
14.1,45,4
16.4,46,4
6.2,19,3
22.5,65,4
18.0,48,4
19.7,58,4
13.3,41,4
24.5,61,4
24.0,68,4
8.3,19,3
17.7,42,4
23.3,58,4
23.2,58,4
20.6,50,4
13.0,40,4
20.7,54,4
40.5,91,5
14.5,42,4
9.3,23,3
11.2,28,3
21.7,36,4
13.4,38,4
19.5,48,4
26.1,66,4
22.7,50,4
19.1,44,4
17.4,46,4
31.9,82,4
31.9,82,4
37.6,44,4
6.2,19,3
17.3,50,4
